gender,age,customer_id,became_member_on,income,became_member_year,became_member_month,membership_duration,age_categories,income_binned
1.0,89.0,3dae0eadb47149b0b9b548d14548524b,2018-01-14,65000.0,2018,1,193 days 00:00:00.000000000,80+,60k-69k
1.0,49.0,5404741ead9442bdbd4b9aa2273e85af,2018-05-18,79000.0,2018,5,69 days 00:00:00.000000000,40-49,70k-79k
0.0,79.0,81e9ad5fa55a4884b65e01a5db8f1b4e,2016-06-27,67000.0,2016,6,759 days 00:00:00.000000000,70-79,60k-69k
1.0,55.0,b2f1cd155b864803ad8334cdf13c4bd2,2017-10-16,94000.0,2017,10,283 days 00:00:00.000000000,50-59,90k-99k
0.0,55.0,37a97f6e09784a07bbb67bc6539f1a00,2017-12-03,66000.0,2017,12,235 days 00:00:00.000000000,50-59,60k-69k
0.0,45.0,77927096ab4144fa930b4cadd4773cc2,2017-10-07,31000.0,2017,10,292 days 00:00:00.000000000,40-49,20k-39k
0.0,52.0,acbc358a8bf44ba88d0de1f2bec5b2ab,2018-01-30,30000.0,2018,1,177 days 00:00:00.000000000,50-59,20k-39k
0.0,39.0,8ca29d07b300474786a6016fe76174dd,2016-04-04,55000.0,2016,4,843 days 00:00:00.000000000,30-39,50k-59k
0.0,77.0,88baa20c29a94178a43a7d68e5f039d4,2018-07-02,69000.0,2018,7,24 days 00:00:00.000000000,70-79,60k-69k
0.0,66.0,a2bd377c7ab74d93bbfd87f70043a9f8,2018-07-09,60000.0,2018,7,17 days 00:00:00.000000000,60-69,50k-59k
1.0,69.0,23f9e3baf42b43148fee9bbbc3530c7a,2017-09-27,87000.0,2017,9,302 days 00:00:00.000000000,60-69,80k-89k
0.0,74.0,8486e692a5f94d179d507eaca848ecbd,2014-08-20,53000.0,2014,8,1436 days 00:00:00.000000000,70-79,50k-59k
1.0,75.0,49f22e86d2db41878778d70958dc744e,2018-07-12,87000.0,2018,7,14 days 00:00:00.000000000,70-79,80k-89k
1.0,59.0,28de174a5c854dd1be3187dc6edae45b,2015-09-09,85000.0,2015,9,1051 days 00:00:00.000000000,50-59,80k-89k
0.0,47.0,a1eb338ccbca4cc88c9366939f16d819,2013-12-30,66000.0,2013,12,1669 days 00:00:00.000000000,40-49,60k-69k
0.0,20.0,220a39cdfd6b41268c43a2e588fcb7e0,2018-05-28,69000.0,2018,5,59 days 00:00:00.000000000,10-19,60k-69k
0.0,60.0,0c89378f14804b42b6e63e4dc26e8d3e,2017-04-26,108000.0,2017,4,456 days 00:00:00.000000000,50-59,100k-109k
0.0,65.0,464d2302b99b46ad8eb3e42e1b849c24,2018-03-15,61000.0,2018,3,133 days 00:00:00.000000000,60-69,60k-69k
0.0,33.0,3f36bc1d5fc0499b9f96f62348f0f9b0,2015-04-21,43000.0,2015,4,1192 days 00:00:00.000000000,30-39,40k-49k
1.0,39.0,fe97aa22dd3e48c8b143116a8403dd52,2017-12-17,67000.0,2017,12,221 days 00:00:00.000000000,30-39,60k-69k
0.0,49.0,dbca75f289544e09836322ba2e104854,2018-06-02,59000.0,2018,6,54 days 00:00:00.000000000,40-49,50k-59k
0.0,68.0,c863af14b3654499b1caea5e640136d2,2018-02-07,58000.0,2018,2,169 days 00:00:00.000000000,60-69,50k-59k
0.0,42.0,d7dc31e069124ef49e1bb937cb89f41c,2017-02-09,80000.0,2017,2,532 days 00:00:00.000000000,40-49,70k-79k
0.0,72.0,1827da57bb924833a6f73c79b5f2bbc5,2018-06-01,33000.0,2018,6,55 days 00:00:00.000000000,70-79,20k-39k
1.0,18.0,721eb06ac285463aa6e1184e0ea9b7f0,2017-05-24,49000.0,2017,5,428 days 00:00:00.000000000,10-19,40k-49k
1.0,32.0,d594b1f288674594a02c8527e5837ade,2018-06-28,42000.0,2018,6,28 days 00:00:00.000000000,30-39,40k-49k
0.0,67.0,0f54094029ca4107bfd36203aeb3ed14,2017-08-28,50000.0,2017,8,332 days 00:00:00.000000000,60-69,40k-49k
0.0,52.0,5f18c5754dc04baaa1267c823f877a85,2018-07-04,42000.0,2018,7,22 days 00:00:00.000000000,50-59,40k-49k
0.0,38.0,d8567f1400d8486cb31c6abba64389ec,2017-10-19,64000.0,2017,10,280 days 00:00:00.000000000,30-39,60k-69k
1.0,60.0,30fae86966114f6e83c3043b22b6b7c4,2018-03-16,77000.0,2018,3,132 days 00:00:00.000000000,50-59,70k-79k
1.0,62.0,fd700397b7c8440baa70d5539926c5a0,2017-12-22,77000.0,2017,12,216 days 00:00:00.000000000,60-69,70k-79k
1.0,55.0,4293153650e04742b310ac06cd3810e9,2018-07-08,51000.0,2018,7,18 days 00:00:00.000000000,50-59,50k-59k
0.0,22.0,2ce2e03319c7446ca9c379b4589da19b,2018-04-28,63000.0,2018,4,89 days 00:00:00.000000000,20-29,60k-69k
0.0,34.0,4d15a2a5ac134c58971b910b859bec24,2017-12-06,41000.0,2017,12,232 days 00:00:00.000000000,30-39,40k-49k
0.0,46.0,127cd9d95e6247e5b92bff64d6205a94,2014-12-14,60000.0,2014,12,1320 days 00:00:00.000000000,40-49,50k-59k
0.0,85.0,4e233f02eff840c7a3e5ec15d55d7d23,2018-07-26,67000.0,2018,7,0 days 00:00:00.000000000,80+,60k-69k
1.0,51.0,3ecb372184104ff7bad0f0f60cb56e29,2017-03-16,85000.0,2017,3,497 days 00:00:00.000000000,50-59,80k-89k
1.0,53.0,8a37057f57c4495fb98dfcc8b909b09f,2016-04-27,85000.0,2016,4,820 days 00:00:00.000000000,50-59,80k-89k
0.0,51.0,11da2f066d3943699d10b61fd276fd1a,2016-08-10,92000.0,2016,8,715 days 00:00:00.000000000,50-59,90k-99k
0.0,48.0,21b02228cd4441b49bf0b5ff046f4b75,2015-06-01,44000.0,2015,6,1151 days 00:00:00.000000000,40-49,40k-49k
0.0,52.0,629fc02d56414d91bca360decdfa9288,2018-06-05,72000.0,2018,6,51 days 00:00:00.000000000,50-59,70k-79k
0.0,62.0,c87b50fcdd4a4d2faacff6112243a8dd,2016-03-05,53000.0,2016,3,873 days 00:00:00.000000000,60-69,50k-59k
0.0,42.0,91dc71c4e9bd45b0861825c32f5ee8f9,2018-03-25,62000.0,2018,3,123 days 00:00:00.000000000,40-49,60k-69k
0.0,55.0,3bd5ba038a5c46cc94e8cd5e5739c967,2017-10-25,65000.0,2017,10,274 days 00:00:00.000000000,50-59,60k-69k
1.0,27.0,92214286965d4eb1ad14dc8b0b04a20f,2015-09-15,50000.0,2015,9,1045 days 00:00:00.000000000,20-29,40k-49k
0.0,68.0,37155a5f4ff248529399c95472186879,2018-05-30,107000.0,2018,5,57 days 00:00:00.000000000,60-69,100k-109k
1.0,74.0,c84fe4915ef74c7f9e81b003d3ecf54c,2017-12-20,83000.0,2017,12,218 days 00:00:00.000000000,70-79,80k-89k
0.0,77.0,041fd7c6b796430a867c4e03d2ff8f4d,2014-10-11,66000.0,2014,10,1384 days 00:00:00.000000000,70-79,60k-69k
0.0,35.0,9e91e04b9a344f4e948728bf127967b6,2018-01-18,72000.0,2018,1,189 days 00:00:00.000000000,30-39,70k-79k
1.0,50.0,348bdc19d65f49b8b98f72c59e64cd89,2017-11-08,69000.0,2017,11,260 days 00:00:00.000000000,40-49,60k-69k
0.0,45.0,c74beaa959a742309ba8350b7d472676,2015-10-27,94000.0,2015,10,1003 days 00:00:00.000000000,40-49,90k-99k
0.0,82.0,c79da41557894c7eacc5c0156dc1f4dc,2016-12-31,87000.0,2016,12,572 days 00:00:00.000000000,80+,80k-89k
0.0,40.0,8cc1a1bd309842bfaafd4483d994579b,2013-12-22,57000.0,2013,12,1677 days 00:00:00.000000000,30-39,50k-59k
0.0,66.0,83e2ccc1d4374c14865e8e2cf16007dd,2018-06-17,34000.0,2018,6,39 days 00:00:00.000000000,60-69,20k-39k
0.0,52.0,17c803219d1348d4a016691c947de0ed,2018-04-11,63000.0,2018,4,106 days 00:00:00.000000000,50-59,60k-69k
1.0,57.0,791ffe6d3dc848d2b233129a8096f7ab,2016-03-29,89000.0,2016,3,849 days 00:00:00.000000000,50-59,80k-89k
0.0,68.0,2204f8ff966f48db90246bd7b5918a7f,2016-06-29,69000.0,2016,6,757 days 00:00:00.000000000,60-69,60k-69k
0.0,21.0,0b9cac742f534951b5af48395dfe6879,2018-03-03,52000.0,2018,3,145 days 00:00:00.000000000,20-29,50k-59k
0.0,61.0,b818e955451b47db9fc8767fa45e464e,2017-08-15,44000.0,2017,8,345 days 00:00:00.000000000,60-69,40k-49k
1.0,58.0,a9ecb39d93d74696a9d6ddd5355329ff,2018-03-17,54000.0,2018,3,131 days 00:00:00.000000000,50-59,50k-59k
1.0,67.0,0d18c37c8b58459f8aa6af2f7b541357,2018-06-14,54000.0,2018,6,42 days 00:00:00.000000000,60-69,50k-59k
0.0,24.0,d250372c924747d8ac9a8fa88f584bc3,2017-02-12,61000.0,2017,2,529 days 00:00:00.000000000,20-29,60k-69k
0.0,26.0,3cea9c09fefb4c33ae2f0aa604af7eb4,2017-11-17,35000.0,2017,11,251 days 00:00:00.000000000,20-29,20k-39k
1.0,71.0,87efa556dd48400cb4231a273e088bcf,2017-12-07,105000.0,2017,12,231 days 00:00:00.000000000,70-79,100k-109k
1.0,69.0,4e4c47b460b1414c8ddd459b61f84b9e,2017-12-12,64000.0,2017,12,226 days 00:00:00.000000000,60-69,60k-69k
0.0,81.0,accec36a10704e1fbaeb9b28b8bc5da8,2018-05-03,93000.0,2018,5,84 days 00:00:00.000000000,80+,90k-99k
0.0,62.0,d1a6fe4c241e4dbf8a4da6fd6c714ac5,2016-04-05,73000.0,2016,4,842 days 00:00:00.000000000,60-69,70k-79k
0.0,38.0,1eed89c11cc749a4bb93d8cef032821d,2017-07-09,74000.0,2017,7,382 days 00:00:00.000000000,30-39,70k-79k
0.0,61.0,3f279ee9fd0d4195b0b9574ce0ae6923,2017-09-26,82000.0,2017,9,303 days 00:00:00.000000000,60-69,80k-89k
1.0,52.0,2d40e25b82b94b37bbad2332e90a1034,2017-08-09,92000.0,2017,8,351 days 00:00:00.000000000,50-59,90k-99k
0.0,50.0,9df2790f060d430e94f17189042e5671,2017-12-25,70000.0,2017,12,213 days 00:00:00.000000000,40-49,60k-69k
0.0,54.0,ae47fbe72b274838a2093c3e91bc03dc,2017-02-16,118000.0,2017,2,525 days 00:00:00.000000000,50-59,110k-120k
1.0,75.0,018b8f83176d471db63d9733c741fc8a,2018-05-02,109000.0,2018,5,85 days 00:00:00.000000000,70-79,100k-109k
0.0,82.0,d2e88e95c0ae41c0980e4cfc10d162d8,2018-03-19,73000.0,2018,3,129 days 00:00:00.000000000,80+,70k-79k
0.0,64.0,aa4a681ea192401ab469b616f8fe6885,2018-07-20,38000.0,2018,7,6 days 00:00:00.000000000,60-69,20k-39k
1.0,54.0,ae40f2f496e84ed29e7638b0bccee9a4,2015-10-06,99000.0,2015,10,1024 days 00:00:00.000000000,50-59,90k-99k
0.0,82.0,5a3d291f75984396b6eb2800206ec716,2018-01-08,72000.0,2018,1,199 days 00:00:00.000000000,80+,70k-79k
0.0,90.0,bf2c086d4c4049289df1e0c8ea08f55c,2018-05-09,45000.0,2018,5,78 days 00:00:00.000000000,80+,40k-49k
1.0,34.0,5b9c1a35c0144b6ab584e666dec7c531,2018-04-17,67000.0,2018,4,100 days 00:00:00.000000000,30-39,60k-69k
0.0,44.0,ad3c443c9ce34aa38929b0a84cb14c04,2018-07-18,53000.0,2018,7,8 days 00:00:00.000000000,40-49,50k-59k
1.0,79.0,688e4f2487d44ad8bbcc0f96936f42d6,2018-07-11,106000.0,2018,7,15 days 00:00:00.000000000,70-79,100k-109k
1.0,58.0,73c157a4b8e342fcb5d8479d8cb41e81,2016-12-31,95000.0,2016,12,572 days 00:00:00.000000000,50-59,90k-99k
1.0,47.0,e737ff591120415581ddbe817b8c82ca,2016-01-05,74000.0,2016,1,933 days 00:00:00.000000000,40-49,70k-79k
1.0,60.0,9cb34ff9de694c578154da3efc9915db,2017-11-17,59000.0,2017,11,251 days 00:00:00.000000000,50-59,50k-59k
0.0,83.0,32189735a963491082e35dd4c3221690,2017-08-07,54000.0,2017,8,353 days 00:00:00.000000000,80+,50k-59k
1.0,74.0,4e5923e5deab4d5cb1624a0b1cc9909c,2018-05-17,103000.0,2018,5,70 days 00:00:00.000000000,70-79,100k-109k
0.0,89.0,2c5c71b7bfaa4e3e8088fc177e6e559b,2015-09-17,101000.0,2015,9,1043 days 00:00:00.000000000,80+,100k-109k
0.0,68.0,307245a5204947e5a9f952daffcad5f2,2016-03-05,62000.0,2016,3,873 days 00:00:00.000000000,60-69,60k-69k
1.0,63.0,eb834c09384149e88983526893d4d0cb,2017-11-27,110000.0,2017,11,241 days 00:00:00.000000000,60-69,100k-109k
1.0,40.0,f93884685d214230bbc7c5f46aef121f,2018-07-06,51000.0,2018,7,20 days 00:00:00.000000000,30-39,50k-59k
1.0,79.0,341276cb09ac42ad8473be091b52b082,2017-12-17,99000.0,2017,12,221 days 00:00:00.000000000,70-79,90k-99k
0.0,71.0,18174519037241e9b1ddcb627ca4dc41,2018-03-21,30000.0,2018,3,127 days 00:00:00.000000000,70-79,20k-39k
